Fx_L,Fy_L,Fz_L,Fx_R,Fy_R,Fz_R,load_mag,ok_rma,tfall_rma,ok_noforce,tfall_noforce
9.1606045,9.763899,-67.010414,-13.7545805,-19.09558,-48.9911,116.00151062011719,1.0,6.0,1.0,6.0
17.096956,-12.910931,-5.6322236,8.464823,-5.0157213,-84.65454,90.2867660522461,1.0,6.0,0.0,1.4020000000000001
18.717047,-4.4773307,-80.07017,13.764439,-1.0718411,-77.43426,157.50442504882812,0.0,1.35,0.0,1.074
-19.411747,-17.48418,-48.782635,7.1119514,-11.338868,-54.64761,103.43024444580078,1.0,6.0,1.0,6.0
14.545604,9.035234,-97.59868,-5.2471395,-5.763751,-14.814262,112.4129409790039,0.0,1.484,1.0,6.0
19.2478,-16.489285,-83.66319,3.0288837,-11.088343,-34.98026,118.64344787597656,0.0,3.258,0.0,1.494
18.288406,-4.1963315,-11.658127,2.536499,-8.726875,-72.57931,84.23743438720703,1.0,6.0,0.0,1.688
-14.049439,14.940906,-21.075245,17.462643,17.074842,-24.406136,45.481380462646484,1.0,6.0,1.0,6.0
18.905153,-1.1079866,-44.316452,-4.4930315,-3.3129854,-56.455982,100.77243041992188,1.0,6.0,1.0,6.0
15.597423,16.504877,-77.75466,-13.408694,-4.5654025,-1.7236055,79.47826385498047,1.0,6.0,1.0,6.0
12.894953,10.636684,-44.225243,15.077315,4.446978,-57.127285,101.35252380371094,1.0,6.0,0.0,1.296
-0.80048305,16.612959,-98.78535,15.78914,6.5656743,-16.280365,115.06571197509766,0.0,1.604,0.0,1.668
-10.705083,-14.903879,-28.700638,-18.069376,6.411062,-98.54584,127.24647521972656,0.0,2.2800000000000002,1.0,6.0
12.075223,-17.057484,-28.324932,-12.071039,-16.609642,-28.177874,56.5028076171875,1.0,6.0,1.0,6.0
16.941206,-17.18695,-35.395496,5.451346,3.2761033,-60.152157,95.54765319824219,1.0,6.0,0.0,1.606
-9.354789,14.754171,-38.86613,11.553806,9.436944,-50.099068,88.96519470214844,1.0,6.0,1.0,6.0
1.5573763,5.362799,-92.62836,4.2677,11.822735,-80.11742,172.7457733154297,0.0,1.608,0.0,2.016
-2.289887,-0.13713224,-75.359406,-12.336432,3.5413702,-7.0488486,82.40825653076172,1.0,6.0,1.0,6.0
17.240692,-13.458263,-42.562195,-15.294337,-14.777078,-80.0355,122.59769439697266,1.0,6.0,1.0,6.0
-18.379572,6.9493375,-60.58132,0.23890536,-16.650387,-43.84133,104.42265319824219,1.0,6.0,1.0,6.0
9.280248,-7.2793045,-0.79767716,12.620417,-7.0778522,-40.265438,41.063114166259766,1.0,6.0,0.0,1.868
4.5749297,8.435195,-7.6254644,-11.317313,17.102352,-14.155657,21.78112030029297,1.0,6.0,1.0,6.0
-18.865385,-1.5857868,-84.79921,-16.994692,-1.0952989,-53.333347,138.13255310058594,0.0,1.792,0.0,2.248
8.768791,0.29879442,-41.00394,2.0417998,15.818956,-17.010872,58.01481246948242,1.0,6.0,1.0,6.0
-19.36033,11.586629,-30.378489,-12.327314,-1.6130018,-47.610344,77.98883056640625,0.0,3.8120000000000003,1.0,6.0
10.31804,-16.29018,-86.34566,-17.303051,10.204724,-4.366534,90.71218872070312,0.0,5.034,1.0,6.0
0.5103489,3.15034,-68.74043,10.930584,-0.59491295,-28.339216,97.07965087890625,1.0,6.0,1.0,6.0
17.16417,-12.110602,-28.408215,12.849064,8.34809,-8.789474,37.197689056396484,1.0,6.0,0.0,1.756
-17.3567,12.32547,-9.889191,-4.066578,-7.312829,-5.7639465,15.65313720703125,1.0,6.0,1.0,6.0
13.652691,-0.44615856,-65.82574,-8.236945,15.59461,-19.775385,85.60111999511719,1.0,6.0,1.0,6.0
-17.3324,19.547813,-76.10563,-8.915164,-9.371677,-87.763245,163.86886596679688,0.0,1.802,1.0,6.0
