Fx_L,Fy_L,Fz_L,Fx_R,Fy_R,Fz_R,load_mag,ok_blind,tfall_blind,ok_clipped,tfall_clipped
2.3563168,-2.117981,-1.9738683,8.883747,14.652646,-11.008271,24.099573,1,6.0,1,6.0
3.743982,-17.031073,-6.140331,1.9019471,1.0478218,-6.1695046,25.027752,1,6.0,1,6.0
-6.2745595,4.6040893,-2.372767,3.9117732,-13.891452,-13.71559,28.04579,1,6.0,1,6.0
-5.0610127,-10.0186405,-2.742456,5.054611,-0.781509,-3.6691816,17.84923,1,6.0,1,6.0
4.750428,-0.56484175,-2.0758128,-5.4779396,10.495232,-1.2561749,17.120125,1,6.0,1,6.0
-17.896498,3.215864,-13.863212,8.443023,4.7871833,-1.1746806,32.641735,1,6.0,1,6.0
4.520147,-23.208897,-9.902783,-3.6980045,0.24348691,-6.3987694,33.02944,1,6.0,1,6.0
-1.680166,2.620426,-2.4867191,9.4164,-16.137001,-13.843798,27.23757,1,6.0,1,6.0
3.0415328,-10.182991,-11.28992,-1.7820772,6.792001,-5.8108077,24.619465,1,6.0,1,6.0
-10.046698,-6.1289377,-1.3898467,17.014803,-21.249105,-3.4505963,39.29004,1,6.0,1,6.0
22.967237,4.3666997,-3.8922668,-2.4070525,-2.306441,-4.57607,29.362083,1,6.0,1,6.0
-13.824467,-1.8555303,-0.19282225,-2.1091628,-23.904829,-12.038692,40.79785,1,6.0,1,6.0
15.686169,5.772473,-14.187894,2.54622,-1.1723151,-3.6531224,26.528927,1,6.0,1,6.0
15.336428,-2.988999,-6.654781,-4.394026,6.438506,-4.2500615,25.861452,1,6.0,1,6.0
28.461866,-0.9602116,-7.090319,-6.299206,18.818218,-21.842596,58.858532,1,6.0,1,6.0
2.0829914,8.043915,-9.457235,-1.1136922,0.8627734,-0.17435779,14.008531,1,6.0,1,6.0
-15.647041,22.738705,-10.773383,-5.557896,-23.695751,-6.3312764,54.77896,1,6.0,1,6.0
-3.569512,-7.7062445,-9.12155,0.8493368,-4.57284,-1.575052,17.37366,1,6.0,1,6.0
0.6694008,-3.5158708,-4.1498923,-0.22696035,4.4058414,-14.934906,21.052933,1,6.0,1,6.0
19.562174,8.790991,-9.51449,-17.227123,16.614243,-15.922489,52.208435,1,6.0,1,6.0
3.1515543,5.869094,-4.697822,1.4143825,3.0385022,-1.2234849,11.719466,1,6.0,1,6.0
-7.6978116,12.027554,-9.173452,-2.9055507,9.305005,-5.729336,28.279747,1,6.0,1,6.0
2.7316818,14.006973,-13.112762,-6.564369,-13.682326,-1.457803,34.62585,1,6.0,1,6.0
-5.155553,-3.020222,-0.42712894,12.085062,14.492279,-5.1760645,25.557293,1,6.0,1,6.0
-0.60881025,-0.37260187,-0.7456349,-6.022727,-5.471537,-5.961501,11.119351,1,6.0,1,6.0
-14.85463,-24.057127,-8.798063,4.51778,-4.2982473,-4.0990477,37.073402,1,6.0,1,6.0
20.482391,-12.379912,-5.3407307,-0.5833035,3.079026,-27.05371,51.75631,1,6.0,1,6.0
-2.7215347,2.4883606,-0.41713512,-0.051587667,0.18034624,-0.1529669,3.953201,1,6.0,1,6.0
20.607239,-14.160873,-4.6859727,-12.572121,-24.059895,-11.383421,54.87578,1,6.0,1,6.0
