Fx_L,Fy_L,Fz_L,Fx_R,Fy_R,Fz_R,load_mag,cond,rmse,max,ss,rmse_L,rmse_R,base_rmse,base_tilt_max,fell
3.7954674,-6.4569044,-3.6082132,-3.5401478,8.908412,-3.5682113,18.542244,FAME,0.0688106719258299,0.11001482440793006,0.06901895837556524,0.07554544019449333,0.06207590365716649,0.02091714331072195,3.9534845003277455,0
-2.2073784,-5.91656,-8.797279,18.86779,-6.8646946,-14.453953,35.56847,no-FAME,0.07830053894356012,0.10991361528287534,0.08067937158683666,0.05919562074758858,0.09740545713953166,0.048483673947345554,3.700513151116295,0
-2.2073784,-5.91656,-8.797279,18.86779,-6.8646946,-14.453953,35.56847,FAME,0.08302039952590154,0.15471207923636704,0.07871929452776065,0.11033582322329069,0.05570497582851239,0.03784705033510058,6.483549153233152,0
-13.227743,8.7748165,-6.8970704,-8.2552,-8.132884,-7.173333,30.9362,no-FAME,0.08513171830825997,0.14288336267166488,0.08684337402152063,0.12184763185030517,0.04841580476621478,0.04053207198377424,7.414342991043346,0
-13.227743,8.7748165,-6.8970704,-8.2552,-8.132884,-7.173333,30.9362,FAME,0.0897309223530983,0.13490794970930048,0.08744154691814389,0.09035729418459662,0.08910455052159999,0.023558359455148874,4.318667792113407,0
11.625289,9.693616,-4.6498475,-6.593393,8.452775,-26.353647,44.285206,no-FAME,0.0748455925004935,0.10742288137153655,0.07211135309751643,0.06654571569299697,0.08314546930799001,0.02456968919401903,3.7582362525306325,0
11.625289,9.693616,-4.6498475,-6.593393,8.452775,-26.353647,44.285206,FAME,0.08768151643131544,0.12328809638395022,0.08734061284835545,0.09791958771072458,0.0774434451519063,0.01602944218919785,2.937509699752579,0
-10.179061,0.24034661,-3.158272,-7.312877,-3.2623253,-4.8580966,20.026482,no-FAME,0.07620618100652798,0.13089570317317367,0.07608971739598828,0.10796290270074646,0.04444945931230951,0.036195197239647516,6.918640203833475,0
-10.179061,0.24034661,-3.158272,-7.312877,-3.2623253,-4.8580966,20.026482,FAME,0.07788468048743062,0.1279024166487219,0.07786219465307673,0.07937259799144653,0.07639676298341472,0.016665156474606712,4.555681517170403,0
8.846643,-5.4448333,-16.055082,-2.1299818,17.046673,-14.829374,41.81704,no-FAME,0.06887696401522002,0.10770086258024113,0.06775366008436777,0.05876758892571687,0.07898633910472316,0.0166823925466502,3.7908054035704737,0
8.846643,-5.4448333,-16.055082,-2.1299818,17.046673,-14.829374,41.81704,FAME,0.08288081437296288,0.11454112276298292,0.08378460070481503,0.09198446318452617,0.0737771655613996,0.014130091426740859,3.58770455145683,0
-15.314218,-7.6723313,-10.844609,7.2806273,-3.3081746,-3.0843666,28.844189,no-FAME,0.07784827432403282,0.1262517667556747,0.07965382742441754,0.1003276052244133,0.05536894342365237,0.03335963539825439,4.427437029783838,0
-15.314218,-7.6723313,-10.844609,7.2806273,-3.3081746,-3.0843666,28.844189,FAME,0.08307568471944038,0.1331886333163717,0.08658925295178263,0.09137321809260548,0.07477815134627529,0.015243299745677659,4.264728729127649,0
0.4083737,16.669676,-1.5693994,4.597917,-16.941154,-14.915603,39.78353,no-FAME,0.06740982018186736,0.11222427214858723,0.06663098347837743,0.0644547690356278,0.07036487132810693,0.017396856275515633,3.6130106434236695,0
0.4083737,16.669676,-1.5693994,4.597917,-16.941154,-14.915603,39.78353,FAME,0.07753045445545373,0.12074541570599137,0.07599552403161766,0.09047821365864658,0.06458269525226089,0.01341118283792104,2.9435079790834897,0
-5.5868144,-3.331328,-9.627428,0.5152925,0.107980326,-0.039163627,12.146788,no-FAME,0.0693424436771907,0.11723596434240034,0.07010488575248634,0.08582534272586849,0.05285954462851292,0.02587722418165948,4.231110856639676,0
-5.5868144,-3.331328,-9.627428,0.5152925,0.107980326,-0.039163627,12.146788,FAME,0.0714207336520497,0.119241184661626,0.07175177729006728,0.07610965012846706,0.06673181717563234,0.02126619769371314,4.236338595615684,0
-15.541845,7.6683965,-7.0693665,-0.14180748,1.1471517,-3.7191494,22.611713,no-FAME,0.08984538063190216,0.13767127906967946,0.0938287757570711,0.12154813142755146,0.05814262983625287,0.028669505125433686,6.238291104787542,0
-15.541845,7.6683965,-7.0693665,-0.14180748,1.1471517,-3.7191494,22.611713,FAME,0.0884909394803225,0.13736430804383337,0.0897181885696363,0.08532938132147433,0.09165249763917066,0.026545841759519163,4.778722146045148,0
10.180676,-5.934375,-13.283487,-4.70902,6.1489363,-0.7130516,25.534792,no-FAME,0.058966139008767085,0.10120108865756261,0.05782690943263809,0.05628930432471003,0.06164297369282415,0.019865503134980853,4.002810920626439,0
10.180676,-5.934375,-13.283487,-4.70902,6.1489363,-0.7130516,25.534792,FAME,0.06863578722811031,0.10604206895545171,0.06808262490491451,0.07717429531924246,0.06009727913697817,0.015509842415448123,3.69457453931297,0
