load,cond,rmse,max,ss,base_rmse,base_tilt_max,max_payload_N,fell
2.942506,no-FAME,0.26632810599113643,0.46932581767554443,0.2568610848001628,0.021472961093388285,4.341717018015847,207.84609690826528,0
2.942506,FAME,0.2620392461400249,0.4808401858110966,0.26207675206701786,0.03407167376840732,4.846507077992681,207.84609690826528,0
2.0566258,no-FAME,0.2653445961301518,0.46375401569726943,0.25657363742706124,0.01959133062504335,3.818999755088594,185.8324939071883,0
2.0566258,FAME,0.26600092869921926,0.4930281841090321,0.2604857635188612,0.03445030103910992,3.844961326014756,174.23333335670674,0
1.9513779,no-FAME,0.2651410439610987,0.4629149382934107,0.2561047579855804,0.019541363584883047,3.816500443245369,169.08508137277923,0
1.9513779,FAME,0.26663734337338807,0.4842335862054676,0.2611078065664921,0.03304413283346466,3.7600963695600518,154.38270813354956,0
2.0653403,no-FAME,0.2653869405614645,0.46391022954282557,0.2566314204532039,0.019547927091204162,3.8185813000709676,198.6785602072062,0
2.0653403,FAME,0.2663160740085228,0.4983122924109371,0.25862928226947807,0.03530283444022649,4.3918789741885975,175.3270889465785,0
1.1667643,no-FAME,0.26367743530853277,0.4591564009553237,0.25343116316625075,0.022140991247652262,3.8859863792831066,70.28376475129942,0
1.1667643,FAME,0.26481341908472333,0.4762969080984516,0.2578363989040965,0.0322390125080527,5.446492705201012,92.48480695541119,0
0.4052895,no-FAME,0.26333743751529615,0.45829903121537946,0.2529172716043473,0.026322507244729884,4.073004384485132,31.025019177003525,0
0.4052895,FAME,0.26332491200362484,0.4623229317395952,0.2542502857560711,0.029959200036062873,5.264404079230992,34.04456879933918,0
2.164465,no-FAME,0.26565303853261457,0.4640350203058484,0.2568192189911152,0.01934941013405441,3.8142483176515354,207.84609690826528,0
2.164465,FAME,0.2631904931445528,0.47759393008394846,0.2552256521445171,0.03450014659626162,3.9157636437769288,192.13970501659438,0
1.5760629,no-FAME,0.2645333958790709,0.4610753327806736,0.2550200705081409,0.020508206668444152,3.8323766811856013,99.3578078052738,0
1.5760629,FAME,0.2662520172145795,0.4824003146225052,0.26232921229557926,0.03207993658210329,4.358770808826984,127.57823165056459,0
0.93072563,no-FAME,0.26365446018063854,0.4588866293524156,0.2532382306916758,0.023313391758606965,3.9426903901168737,56.916206400162004,0
0.93072563,FAME,0.26462457963850594,0.47124627731459356,0.2552879287195932,0.03183906814455588,5.649707786229433,76.69876154945376,0
1.4575061,no-FAME,0.26403468031746324,0.45938940877144396,0.25418456774555165,0.02096136697343044,3.8498896188319947,125.45496894825486,0
1.4575061,FAME,0.26441180786762325,0.4773311699923575,0.2590488543586288,0.03271276591022853,4.816823585494533,117.29008186841406,0
2.6684635,no-FAME,0.2664508824029517,0.46759764094772666,0.2576760432269245,0.020740364994379472,3.776182269174191,204.002176111666,0
2.6684635,FAME,0.2621346359776191,0.48243774386032157,0.2601345471157309,0.03495250011543943,4.4234651679692805,200.0366819674331,0
2.8021305,no-FAME,0.2664387806427818,0.4685280608224936,0.25740813040687405,0.0208016013162494,4.022476801290345,204.94311412434166,0
2.8021305,FAME,0.2612304058505463,0.48230259865826763,0.2598948903913057,0.0336739632138176,4.975897486659618,195.2465978147562,0
1.0733856,no-FAME,0.2637134311880508,0.45883720844336484,0.2535593479353611,0.022596388750927395,3.904454324465308,65.01727413058963,0
1.0733856,FAME,0.26474493583222486,0.47408004316616303,0.25659661975703707,0.03205612068119311,5.555938217295675,85.39003462184968,0
1.7145895,no-FAME,0.2647776114558397,0.46185653618067474,0.2555221397604521,0.020020686557602994,3.824369956036725,103.71608028655777,0
1.7145895,FAME,0.2675515138742423,0.4874243362698074,0.26795471820878775,0.03093050071361996,4.090274813654675,130.9501937370629,0
0.9656082,no-FAME,0.26373653192821017,0.4586831959878863,0.25354929130479437,0.023024845581984157,3.9366862255482036,61.53347754780419,0
0.9656082,FAME,0.2641237782609955,0.47060535400562487,0.25509273907169305,0.03281966185329254,5.635546849565644,80.39847784433343,0
1.7829001,no-FAME,0.26485022014230597,0.4621178179825334,0.2556640294688491,0.019877511950488303,3.82506079847102,118.94707434282715,0
1.7829001,FAME,0.26784493004069265,0.49146428650693297,0.26761179823533,0.031990240202899096,3.903831587068775,132.69394390395988,0
1.0137336,no-FAME,0.2636742859809712,0.4584740262639564,0.25343223595178815,0.02299360381323873,3.911877788330817,61.13782293289165,0
